tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
1,3,64,3,6800,1024,10.5,1.0,123.95270136993584,20.66747759709947,135.0,1.1424691517241379,-81.54798210735586,0.4902241150189857,-81.34467142857142,0.7504433290479123,2.0680238568588476,0.7212426716865755,2.1386714285714286,0.7551429184889557,42.290258449304176,41.65714285714286,8212.0,8714.0
1,3,64,3,6800,4096,0.0,1.0,145.15747274170525,23.091558328918303,135.0,4.268628511724137,-90.75959045725648,0.736369918343914,-5113145.431309522,104786468.07763958,2.242785288270378,0.8816007114135099,-5113053.75067619,104786468.10481642,71.39562624254474,64.98095238095237,17640.0,18142.0
1,3,64,3,6800,4096,10.5,1.0,116.93679679737124,20.3033408601531,135.0,4.268628511724137,-81.60055069582506,0.5048614548173305,-81.33512887828162,0.7719646858332441,2.0876660039761434,0.8032457388058133,2.113661097852029,0.8115866878258962,42.36978131212724,41.00238663484487,8715.0,9217.0
1,3,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
1,3,64,5,110,128,7.5,1.0,550.6884653574393,38.64661176198535,135.0,4.8946609658620694,-106.78701587301587,1.7074912676704985,-102.13314999999999,1.1057934823719684,-0.6633373015873025,1.491546322020561,1.6491214285714295,1.0793214309600714,19.706349206349206,20.847619047619048,9218.0,9721.0
1,3,64,5,110,1024,0.0,0.5849056603773585,451.6135010251283,173.44411135653087,135.0,5.806457445862068,-46684526.689347826,316629174.86641014,-99.02045238095239,0.8829814019636568,-46684420.19491304,316629173.96412426,6.091142857142858,2.5924224999252083,47.30434782608695,58.095238095238095,18143.0,18188.0
1,3,64,5,110,1024,7.5,1.0,212.1951089993978,142.1439044727941,135.0,5.806457445862068,-92.41308134920635,0.4293288017467605,-91.04109761904762,0.9078735902324578,10.142688492063494,3.5415784162034023,9.850583333333333,3.36144841212929,56.142857142857146,59.43809523809524,9722.0,10225.0
1,3,64,5,110,4096,0.0,0.8,218.478206176552,131.86513408302795,135.0,8.932616805862068,-100.14313725490196,1.9493610226985023,-97.2581,0.7315931676289411,9.084098039215686,4.117170218020446,10.757755555555555,4.070987248264306,100.86274509803921,100.88888888888889,18189.0,18290.0
1,3,64,5,110,4096,7.5,1.0,192.00529068736182,132.09207094223657,135.0,8.932616805862068,-91.28540277777778,0.4777730548290663,-90.53431428571427,0.5434311493788708,10.385813492063491,3.5506485976722053,9.7748,2.9814445919541424,67.01587301587301,66.45714285714286,10226.0,10729.0
1,3,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
1,3,64,5,6800,128,7.5,0.7893518518518519,521.7632232266889,93.50317881560828,148.0,0.23067267172413794,-95.14054963680388,0.9672927015475205,-92.97542587601079,0.9675393569920673,2.2270508474576274,0.9897254840692069,3.28011590296496,1.2230235175040725,15.360774818401937,16.442048517520217,10730.0,11142.0
1,3,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,3,64,5,6800,1024,7.5,0.9899598393574297,168.08544702387502,74.16437418225759,148.0,1.1424691517241379,-91.30326305220883,0.5876636011606434,-90.49181971153845,0.5952540481807571,10.584789156626506,3.569454713458553,9.857103365384615,3.291780394436036,53.975903614457835,57.875,11143.0,11640.0
1,3,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,3,64,5,6800,4096,7.5,0.9879275653923542,175.24010231322018,70.23701371346887,148.0,4.268628511724137,-91.30694366197183,0.40840652290170343,-90.39798564593299,0.7797167749856011,10.611498993963785,3.255520264108203,10.013504784688996,3.420517765682376,66.92957746478874,65.6555023923445,11641.0,12137.0
